issn,title,sjr_quartile,sjr_score
1467-2227,Enterprise and Society,Q1,0.695
1467-2235,Enterprise and Society,Q1,0.695
2353-883X,Entrepreneurial Business and Economics Review,Q1,0.646
2353-8821,Entrepreneurial Business and Economics Review,Q1,0.646
2520-8152,Entrepreneurship Education,Q2,0.372
2520-8144,Entrepreneurship Education,Q2,0.372
2515-1274,Entrepreneurship Education and Pedagogy,Q2,0.578
2157-5665,Entrepreneurship Research Journal,Q2,0.891
2194-6175,Entrepreneurship Research Journal,Q2,0.891
1042-2587,Entrepreneurship Theory and Practice,Q1,6.876
1540-6520,Entrepreneurship Theory and Practice,Q1,6.876
1464-5114,Entrepreneurship and Regional Development,Q1,1.353
0898-5626,Entrepreneurship and Regional Development,Q1,1.353
1161-2770,Entreprises et Histoire,Q2,0.201
1758-7093,"Equality, Diversity and Inclusion",Q1,0.852
2040-7149,"Equality, Diversity and Inclusion",Q1,0.852
0123-5923,Estudios Gerenciales,Q3,0.241
2665-6744,Estudios Gerenciales,Q3,0.241
1309-4297,Eurasian Business Review,Q1,1.116
2147-4281,Eurasian Business Review,Q1,1.116
2072-0823,Eurasian Mining,Q2,0.463
2364-5067,Eurasian Studies in Business and Economics,Q4,0.123
2364-5075,Eurasian Studies in Business and Economics,Q4,0.123
1450-2194,EuroMed Journal of Business,Q1,1.078
1758-888X,EuroMed Journal of Business,Q1,1.078
0963-8180,European Accounting Review,Q1,1.381
1468-4497,European Accounting Review,Q1,1.381
1741-6205,European Business Organization Law Review,Q1,0.867
1566-7529,European Business Organization Law Review,Q1,0.867
0955-534X,European Business Review,Q1,1.069
1354-7798,European Financial Management,Q1,1.136
1468-036X,European Financial Management,Q1,1.136
2694-7161,European Journal of Business Science and Technology,Q4,0.193
2336-6494,European Journal of Business Science and Technology,Q4,0.193
2444-877X,European Journal of Family Business,Q3,0.295
2444-8788,European Journal of Family Business,Q3,0.295
2195-2248,European Journal of Futures Research,Q1,1.014
2195-4194,European Journal of Futures Research,Q1,1.014
1461-7129,European Journal of Industrial Relations,Q1,1.238
0959-6801,European Journal of Industrial Relations,Q1,1.238
0960-085X,European Journal of Information Systems,Q1,3.459
1476-9344,European Journal of Information Systems,Q1,3.459
1460-1060,European Journal of Innovation Management,Q1,1.397
1751-6757,European Journal of International Management,Q3,0.318
1751-6765,European Journal of International Management,Q3,0.318
0929-1261,European Journal of Law and Economics,Q2,0.377
1572-9990,European Journal of Law and Economics,Q2,0.377
2444-8451,European Journal of Management and Business Economics,Q2,0.665
2444-8494,European Journal of Management and Business Economics,Q2,0.665
0309-0566,European Journal of Marketing,Q1,1.709
1314-0817,European Journal of Tourism Research,Q2,0.651
1994-7658,European Journal of Tourism Research,Q2,0.651
2046-9012,European Journal of Training and Development,Q1,0.872
2046-9020,European Journal of Training and Development,Q1,0.872
1359-432X,European Journal of Work and Organizational Psychology,Q1,1.919
0263-2373,European Management Journal,Q1,1.913
1740-4762,European Management Review,Q1,1.142
1740-4754,European Management Review,Q1,1.142
2560-4961,European Project Management Journal,Q4,0.167
2444-8834,European Research on Management and Business Economics,Q1,1.473
1746-031X,European Sport Management Quarterly,Q1,1.407
1618-4742,European Sport Management Quarterly,Q1,1.407
0149-7189,Evaluation and Program Planning,Q2,0.554
1873-7870,Evaluation and Program Planning,Q2,0.554
1525-9951,Event Management,Q3,0.408
2049-3983,Evidence-based HRM,Q2,0.443
2049-3991,Evidence-based HRM,Q2,0.443
2455-2658,FIIB Business Review,Q2,0.605
2319-7145,FIIB Business Review,Q2,0.605
2569-7692,Fabriksoftware,Q4,0.1
1741-6248,Family Business Review,Q1,2.718
0894-4865,Family Business Review,Q1,2.718
2198-0802,Fashion and Textiles,Q1,0.75
2050-0734,"Fashion, Style and Popular Culture",Q1,0.27
2050-0726,"Fashion, Style and Popular Culture",Q1,0.27
0014-9187,Federal Reserve Bank of St. Louis Review,Q2,0.654
1466-4372,Feminist Economics,Q1,1.318
1354-5701,Feminist Economics,Q1,1.318
2300-7354,Fibres and Textiles in Eastern Europe,Q3,0.252
1230-3666,Fibres and Textiles in Eastern Europe,Q3,0.252
2101-0145,Finance,Q4,0.194
0752-6180,Finance,Q4,0.194
0970-3772,Finance India,Q4,0.142
0015-1920,Finance a Uver - Czech Journal of Economics and Finance,Q4,0.19
2587-7089,Finance: Theory and Practice,Q3,0.185
2587-5671,Finance: Theory and Practice,Q3,0.185
1468-0408,Financial Accountability and Management,Q1,0.855
0267-4424,Financial Accountability and Management,Q1,0.855
0015-198X,Financial Analysts Journal,Q1,2.148
2199-4730,Financial Innovation,Q1,1.287
0046-3892,Financial Management,Q1,3.226
1934-4554,Financial Markets and Portfolio Management,Q3,0.423
2373-8529,Financial Markets and Portfolio Management,Q3,0.423
2306-4994,Financial and Credit Activity: Problems of Theory and Practice,Q4,0.201
2310-8770,Financial and Credit Activity: Problems of Theory and Practice,Q4,0.201
0143-5671,Fiscal Studies,Q2,0.625
1475-5890,Fiscal Studies,Q2,0.625
1066-3487,Florida Tax Review,Q3,0.198
2476-1699,Florida Tax Review,Q3,0.198
1730-4237,Folia Oeconomica Stetinensia,Q4,0.167
1898-0198,Folia Oeconomica Stetinensia,Q4,0.167
1344-6606,Food Science and Technology Research,Q3,0.271
0015-6914,Forbes,Q4,0.1
0015-7325,Foreign Trade Review,Q2,0.455
0971-7633,Foreign Trade Review,Q2,0.455
1465-9832,Foresight,Q1,0.625
1463-6689,Foresight,Q1,0.625
2312-9972,Foresight and STI Governance,Q2,0.352
2500-2597,Foresight and STI Governance,Q2,0.352
2107-0946,Formation Emploi,Q3,0.184
0759-6340,Formation Emploi,Q3,0.184
2353-4435,Forum Scientiae Oeconomia,Q1,0.607
2300-5947,Forum Scientiae Oeconomia,Q1,0.607
1554-0642,Foundations and Trends in Accounting,Q1,1.706
1554-0650,Foundations and Trends in Accounting,Q1,1.706
1551-3114,Foundations and Trends in Entrepreneurship,Q1,1.03
1551-3122,Foundations and Trends in Entrepreneurship,Q1,1.03
2331-124X,Foundations and Trends in Information Systems,Q3,0.297
2331-1231,Foundations and Trends in Information Systems,Q3,0.297
1555-0761,Foundations and Trends in Marketing,Q2,0.868
1555-0753,Foundations and Trends in Marketing,Q2,0.868
2300-5661,Foundations of Management,Q4,0.162
2080-7279,Foundations of Management,Q4,0.162
2624-9367,Frontiers in Sports and Active Living,Q1,0.864
1673-7326,Frontiers of Business Research in China,Q3,0.233
1673-7431,Frontiers of Business Research in China,Q3,0.233
2475-2797,Frontiers of Health Services Management,Q4,0.194
0748-8157,Frontiers of Health Services Management,Q4,0.194
1464-2859,Fuel Cells Bulletin,Q4,0.151
0016-3287,Futures,Q1,1.12
2573-5152,Futures and Foresight Science,Q2,0.776
0337-307X,Futuribles: Analyse et Prospective,Q4,0.16
1554-964X,GENEVA Risk and Insurance Review,Q3,0.287
1554-9658,GENEVA Risk and Insurance Review,Q3,0.287
1411-1128,Gadjah Mada International Journal of Business,Q3,0.378
2338-7238,Gadjah Mada International Journal of Business,Q3,0.378
0921-5077,Gedrag en Organisatie,Q4,0.163
1875-7235,Gedrag en Organisatie,Q4,0.163
1754-2413,Gender in Management,Q1,0.844
1468-0432,"Gender, Work and Organization",Q1,2.539
0968-6673,"Gender, Work and Organization",Q1,2.539
1935-472X,Genetic Engineering and Biotechnology News,Q4,0.14
1018-5895,Geneva Papers on Risk and Insurance: Issues and Practice,Q2,0.597
1468-0440,Geneva Papers on Risk and Insurance: Issues and Practice,Q2,0.597
0354-8724,Geographica Pannonica,Q3,0.32
1820-7138,Geographica Pannonica,Q3,0.32
2065-1198,Geojournal of Tourism and Geosites,Q1,0.296
2065-0817,Geojournal of Tourism and Geosites,Q1,0.296
2397-0022,German Journal of Human Resource Management,Q1,1.188
2397-0030,German Journal of Human Resource Management,Q1,1.188
0104-530X,Gestao e Producao,Q3,0.24
0973-0664,Global Business Review,Q2,0.581
0972-1509,Global Business Review,Q2,0.581
1097-4954,Global Business and Economics Review,Q4,0.167
1745-1329,Global Business and Economics Review,Q4,0.167
2384-1648,Global Business and Finance Review,Q3,0.25
1088-6931,Global Business and Finance Review,Q3,0.25
1932-2054,Global Business and Organizational Excellence,Q1,1.432
1932-2062,Global Business and Organizational Excellence,Q1,1.432
1226-508X,Global Economic Review,Q2,0.382
0974-9101,Global Journal of Emerging Market Economies,Q2,0.358
0975-2730,Global Journal of Emerging Market Economies,Q2,0.358
0972-2696,Global Journal of Flexible Systems Management,Q1,1.148
2042-5805,Global Strategy Journal,Q1,3.471
1875-6468,Global Trade and Customs Journal,Q2,0.243
1569-755X,Global Trade and Customs Journal,Q2,0.243
0952-1895,Governance,Q1,1.426
1468-0491,Governance,Q1,1.426
2159-2977,Graziadio Business Review,Q4,0.13
0926-2644,Group Decision and Negotiation,Q1,0.641
1572-9907,Group Decision and Negotiation,Q1,0.641
1059-6011,Group and Organization Management,Q1,2.373
2366-6145,Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie,Q3,0.237
2366-6218,Gruppe. Interaktion. Organisation. Zeitschrift fur Angewandte Organisationspsychologie,Q3,0.237
1573-448X,Handbook of Industrial Organization,Q1,10.234
0017-8012,Harvard Business Review,Q2,0.553
1550-5030,Health Care Management Review,Q1,1.128
0361-6274,Health Care Management Review,Q1,1.128
1545-0864,Health Marketing Quarterly,Q2,0.329
0735-9683,Health Marketing Quarterly,Q2,0.329
2712-0554,Heritage and Sustainable Development,Q2,0.289
2373-518X,History of Retailing and Consumption,Q1,0.214
2373-5171,History of Retailing and Consumption,Q1,0.214
2436-097X,Hitotsubashi Journal of Economics,Q4,0.158
2042-7921,Hospitality and Society,Q2,0.271
2042-7913,Hospitality and Society,Q2,0.271
2158-2122,Hotel Management,Q4,0.101
1096-4649,Howard Journal of Communications,Q2,0.37
1064-6175,Howard Journal of Communications,Q2,0.37
0895-9285,Human Performance,Q2,0.96
1532-7043,Human Performance,Q2,0.96
0018-7267,Human Relations,Q1,4.148
1741-282X,Human Relations,Q1,4.148
1367-8868,Human Resource Development International,Q2,1.066
1469-8374,Human Resource Development International,Q2,1.066
1532-1096,Human Resource Development Quarterly,Q1,1.294
1044-8004,Human Resource Development Quarterly,Q1,1.294
1552-6712,Human Resource Development Review,Q2,1.027
1534-4843,Human Resource Development Review,Q2,1.027
0090-4848,Human Resource Management,Q1,3.663
1099-050X,Human Resource Management,Q1,3.663
0967-0734,Human Resource Management International Digest,Q4,0.101
0954-5395,Human Resource Management Journal,Q1,3.027
1053-4822,Human Resource Management Review,Q1,3.934
2330-314X,"Human Service Organizations Management, Leadership and Governance",Q2,0.481
2330-3131,"Human Service Organizations Management, Leadership and Governance",Q2,0.481
0167-2533,Human Systems Management,Q3,0.391
2366-6048,Humanistic Management Journal,Q2,0.42
2662-9992,Humanities and Social Sciences Communications,Q1,0.81
2312-5659,Humanities and Social Sciences Letters,Q3,0.181
2312-4318,Humanities and Social Sciences Letters,Q3,0.181
1947-3788,IBIMA Business Review,Q4,0.149
2184-772X,ICSBT International Conference on Smart Business Technologies,-,0.153
2471-2825,IEEE Communications Standards Magazine,Q1,2.174
0360-8581,IEEE Engineering Management Review,Q2,0.473
2157-362X,IEEE International Conference on Industrial Engineering and Engineering Management,-,0.192
2157-3611,IEEE International Conference on Industrial Engineering and Engineering Management,-,0.192
0278-6648,IEEE Potentials,Q4,0.164
0018-9391,IEEE Transactions on Engineering Management,Q1,1.134
1558-0040,IEEE Transactions on Engineering Management,Q1,1.134
1558-1500,IEEE Transactions on Professional Communication,Q1,0.749
0361-1434,IEEE Transactions on Professional Communication,Q1,0.749
2048-3430,IHS Jane's Defence Weekly,Q4,0.1
0970-3896,IIMB Management Review,Q3,0.335
0019-7939,ILR Review,Q1,3.136
2162-271X,ILR Review,Q1,3.136
1471-678X,IMA Journal of Management Mathematics,Q1,0.622
1471-6798,IMA Journal of Management Mathematics,Q1,0.622
2041-417X,IMF Economic Review,Q1,2.079
2041-4161,IMF Economic Review,Q1,2.079
2644-0865,INFORMS Journal on Applied Analytics,Q2,0.498
2644-0873,INFORMS Journal on Applied Analytics,Q2,0.498
1532-0545,INFORMS Transactions on Education,Q2,0.345
2771-6953,ITMS - International Scientific Conference on Information Technology and Management Science of Riga Technical University,-,
2771-6937,ITMS - International Scientific Conference on Information Technology and Management Science of Riga Technical University,-,
2520-1786,IZA Journal of Development and Migration,Q1,0.665
2193-8997,IZA Journal of Labor Economics,Q2,0.498
2193-9004,IZA Journal of Labor Policy,Q2,0.451
2806-4208,Icon,Q3,0.145
1361-8113,Icon,Q3,0.145
1753-8254,Indian Growth and Development Review,Q3,0.276
1753-8262,Indian Growth and Development Review,Q3,0.276
0974-6862,Indian Journal of Corporate Governance,Q3,0.273
2454-2482,Indian Journal of Corporate Governance,Q3,0.273
2277-5412,Indian Journal of Economics and Development,Q4,0.148
2322-0430,Indian Journal of Economics and Development,Q4,0.148
0973-8703,Indian Journal of Marketing,Q4,0.223
1973-8137,Industria,Q4,0.147
0019-7416,Industria,Q4,0.147
1222-5347,Industria Textila,Q3,0.267
0263-5577,Industrial Management and Data Systems,Q1,1.279
0019-8501,Industrial Marketing Management,Q1,2.621
0019-8676,Industrial Relations,Q1,0.931
1468-232X,Industrial Relations,Q1,0.931
1468-2338,Industrial Relations Journal,Q2,0.92
0019-8692,Industrial Relations Journal,Q2,0.92
0019-7858,Industrial and Commercial Training,Q2,0.575
1464-3650,Industrial and Corporate Change,Q1,1.28
0960-6491,Industrial and Corporate Change,Q1,1.28
1862-0035,Industrielle Beziehungen,Q4,0.116
0943-2779,Industrielle Beziehungen,Q4,0.116
2043-6858,Industry and Higher Education,Q2,0.599
0950-4222,Industry and Higher Education,Q2,0.599
1366-2716,Industry and Innovation,Q1,1.41
1469-8390,Industry and Innovation,Q1,1.41
1587-8694,Informacios Tarsadalom,Q2,0.283
1533-7979,Information Resources Management Journal,Q2,0.263
1040-1628,Information Resources Management Journal,Q2,0.263
0197-2243,Information Society,Q1,1.245
1087-6537,Information Society,Q1,1.245
1526-5536,Information Systems Research,Q1,4.85
1047-7047,Information Systems Research,Q1,4.85
1385-951X,Information Technology and Management,Q1,0.643
1573-7667,Information Technology and Management,Q1,0.643
1098-3058,Information Technology and Tourism,Q1,1.604
1943-4294,Information Technology and Tourism,Q1,1.604
2056-4961,Information and Computer Security,Q2,0.485
0378-7206,Information and Management,Q1,2.92
2783-6207,Information and Media,Q3,0.172
1471-7727,Information and Organization,Q1,1.803
2248-6968,Innovar,Q3,0.168
0121-5051,Innovar,Q3,0.168
2949-7531,Innovation and Green Development,Q1,2.817
2515-8961,Innovation and Management Review,Q2,0.772
1447-9338,Innovation: Organization and Management,Q1,1.467
1351-1610,Innovation: The European Journal of Social Science Research,Q1,0.577
1469-8412,Innovation: The European Journal of Social Science Research,Q1,0.577
1267-4982,Innovations,Q4,0.174
1814-2427,Innovative Marketing,Q2,0.28
1816-6326,Innovative Marketing,Q2,0.28
2232-1640,Institutions and Economies,Q3,0.205
2232-1349,Institutions and Economies,Q3,0.205
2522-9591,Insurance Markets and Companies,Q3,0.193
2616-3551,Insurance Markets and Companies,Q3,0.193
2014-3214,Intangible Capital,Q3,0.249
1697-9818,Intangible Capital,Q3,0.249
1822-8038,Intellectual Economics,Q2,0.289
1822-8011,Intellectual Economics,Q2,0.289
1550-1949,"Intelligent Systems in Accounting, Finance and Management",Q2,0.673
2160-0074,"Intelligent Systems in Accounting, Finance and Management",Q2,0.673
2981-0795,Interdisciplinary Journal of Management Studies,Q3,0.225
1613-964X,Intereconomics,Q1,0.604
0020-5346,Intereconomics,Q1,0.604
0969-5931,International Business Review,Q1,2.104
2640-1177,International Conference on Construction in the 21st Century,-,0.114
2724-0339,"International Conference on Harbour, Maritime and Multimodal Logistics Modelling and Simulation",-,0.185
2155-0751,"International Conference on Information and Knowledge Management, Proceedings",-,1.596
2184-3481,International Conference on Quality Engineering and Management,-,0.13
2331-9569,"International Conference on Virtual Rehabilitation, ICVR",-,0.187
2165-4077,"International Conference on the European Energy Market, EEM",-,0.252
2165-4093,"International Conference on the European Energy Market, EEM",-,0.252
0020-658X,International Dyer and Finisher,Q4,0.1
2110-7017,International Economics,Q1,0.963
1554-7191,International Entrepreneurship and Management Journal,Q1,1.352
1096-7508,International Food and Agribusiness Management Review,Q2,0.426
1559-2448,International Food and Agribusiness Management Review,Q2,0.426
0219-1989,International Game Theory Review,Q3,0.218
1793-6675,International Game Theory Review,Q3,0.218
2184-3228,"International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management, IC3K - Proceedings",-,0.145
0146-6518,International Journal for Housing Science and Its Applications,Q4,0.106
2213-3933,International Journal of Accounting,Q2,0.476
1094-4060,International Journal of Accounting,Q2,0.476
1467-0895,International Journal of Accounting Information Systems,Q1,1.367
1758-9037,International Journal of Accounting and Information Management,Q1,0.991
1834-7649,International Journal of Accounting and Information Management,Q1,0.991
1740-8008,"International Journal of Accounting, Auditing and Performance Evaluation",Q4,0.182
1740-8016,"International Journal of Accounting, Auditing and Performance Evaluation",Q4,0.182
1861-1303,International Journal of Action Research,Q3,0.252
1861-9916,International Journal of Action Research,Q3,0.252
1758-938X,International Journal of Advanced Operations Management,Q3,0.251
1758-9398,International Journal of Advanced Operations Management,Q3,0.251
1759-3948,International Journal of Advertising,Q1,2.914
0265-0487,International Journal of Advertising,Q1,2.914
1741-9174,International Journal of Agile Systems and Management,Q2,0.329
1741-9182,International Journal of Agile Systems and Management,Q2,0.329
2291-8639,International Journal of Analysis and Applications,Q3,0.268
1546-542X,International Journal of Applied Ceramic Technology,Q3,0.423
1744-7402,International Journal of Applied Ceramic Technology,Q3,0.423
1755-8085,International Journal of Applied Decision Sciences,Q3,0.248
1755-8077,International Journal of Applied Decision Sciences,Q3,0.248
2577-767X,"International Journal of Applied Economics, Finance and Accounting (discontinued)",-,
1755-8913,International Journal of Applied Management Science,Q4,0.145
1755-8921,International Journal of Applied Management Science,Q4,0.145
1480-8986,International Journal of Arts Management,Q1,0.272
1947-9638,International Journal of Asian Business and Information Management,Q2,0.235
1947-9646,International Journal of Asian Business and Information Management,Q2,0.235
1099-1123,International Journal of Auditing,Q1,0.573
1090-6738,International Journal of Auditing,Q1,0.573
1470-9511,International Journal of Automotive Technology and Management,Q2,0.417
1741-5012,International Journal of Automotive Technology and Management,Q2,0.417
0265-2323,International Journal of Bank Marketing,Q1,1.439
1755-3830,"International Journal of Banking, Accounting and Finance",Q4,0.133
1755-3849,"International Journal of Banking, Accounting and Finance",Q4,0.133
1741-5020,International Journal of Biotechnology,Q4,0.106
0963-6048,International Journal of Biotechnology,Q4,0.106
1083-4346,International Journal of Business,Q4,0.189
2334-4555,International Journal of Business Analytics,Q4,0.189
2334-4547,International Journal of Business Analytics,Q4,0.189
2329-4884,International Journal of Business Communication,Q1,0.97
2329-4892,International Journal of Business Communication,Q1,0.97
1758-2164,International Journal of Business Continuity and Risk Management,Q4,0.185
1758-2172,International Journal of Business Continuity and Risk Management,Q4,0.185
1548-0631,International Journal of Business Data Communications and Networking,Q4,0.197
1548-064X,International Journal of Business Data Communications and Networking,Q4,0.197
1740-0589,International Journal of Business Environment,Q3,0.278
1740-0597,International Journal of Business Environment,Q3,0.278
1756-0055,International Journal of Business Excellence,Q3,0.267
1756-0047,International Journal of Business Excellence,Q3,0.267
1741-802X,International Journal of Business Governance and Ethics,Q4,0.191
1477-9048,International Journal of Business Governance and Ethics,Q4,0.191
1746-0972,International Journal of Business Information Systems,Q3,0.273
1746-0980,International Journal of Business Information Systems,Q3,0.273
1751-0252,International Journal of Business Innovation and Research,Q3,0.237
1751-0260,International Journal of Business Innovation and Research,Q3,0.237
1947-3605,International Journal of Business Intelligence Research,Q2,0.352
1947-3591,International Journal of Business Intelligence Research,Q2,0.352
1743-8195,International Journal of Business Intelligence and Data Mining,Q4,0.15
1743-8187,International Journal of Business Intelligence and Data Mining,Q4,0.15
1368-4892,International Journal of Business Performance Management,Q4,0.219
1741-5039,International Journal of Business Performance Management,Q4,0.219
1758-9401,International Journal of Business Performance and Supply Chain Modelling,Q4,0.161
1758-941X,International Journal of Business Performance and Supply Chain Modelling,Q4,0.161
1741-8771,International Journal of Business Process Integration and Management,Q4,0.122
1741-8763,International Journal of Business Process Integration and Management,Q4,0.122
1753-0296,International Journal of Business Science and Applied Management,Q3,0.399
1753-6227,International Journal of Business and Emerging Markets,Q4,0.203
1753-6219,International Journal of Business and Emerging Markets,Q4,0.203
1753-3627,International Journal of Business and Globalisation,Q4,0.189
1753-3635,International Journal of Business and Globalisation,Q4,0.189
1837-6614,International Journal of Business and Management Science,Q4,0.133
1985-692X,International Journal of Business and Management Science,Q4,0.133
1511-6670,International Journal of Business and Society,Q3,0.236
1751-2018,International Journal of Business and Systems Research,Q4,0.173
1751-200X,International Journal of Business and Systems Research,Q4,0.173
1363-7681,International Journal of COMADEM,Q4,0.12
0955-6222,International Journal of Clothing Science and Technology,Q3,0.335
1758-5953,International Journal of Clothing Science and Technology,Q3,0.335
1875-838X,International Journal of Comparative Labour Law and Industrial Relations,Q2,0.277
0952-617X,International Journal of Comparative Labour Law and Industrial Relations,Q2,0.277
2150-7988,International Journal of Computer Information Systems and Industrial Management Applications,Q4,0.197
2210-142X,International Journal of Computing and Digital Systems,Q3,0.231
1044-4068,International Journal of Conflict Management,Q1,0.876
1562-3599,International Journal of Construction Management,Q1,1.015
2331-2327,International Journal of Construction Management,Q1,1.015
1179-0776,International Journal of Construction Supply Chain Management,Q3,0.308
1470-6423,International Journal of Consumer Studies,Q1,2.22
1470-6431,International Journal of Consumer Studies,Q1,2.22
0959-6119,International Journal of Contemporary Hospitality Management,Q1,3.141
1470-5958,International Journal of Cross Cultural Management,Q1,0.743
1741-2838,International Journal of Cross Cultural Management,Q1,0.743
2398-7294,International Journal of Crowd Science,Q2,0.407
1947-9247,International Journal of Customer Relationship Marketing and Management,Q3,0.21
1947-9255,International Journal of Customer Relationship Marketing and Management,Q3,0.21
1759-1163,"International Journal of Data Mining, Modelling and Management",Q4,0.161
1759-1171,"International Journal of Data Mining, Modelling and Management",Q4,0.161
1994-036X,International Journal of Design,Q1,0.515
1991-3761,International Journal of Design,Q1,0.515
1577-8517,International Journal of Digital Accounting Research,Q2,0.376
2049-0895,International Journal of Diplomacy and Economy,Q3,0.228
2049-0887,International Journal of Diplomacy and Economy,Q3,0.228
1741-3591,International Journal of Disclosure and Governance,Q2,0.59
1746-6539,International Journal of Disclosure and Governance,Q2,0.59
1947-8585,International Journal of E-Entrepreneurship and Innovation,Q3,0.195
1947-8593,International Journal of E-Entrepreneurship and Innovation,Q3,0.195
1941-627X,International Journal of E-Services and Mobile Applications,Q3,0.272
1941-6288,International Journal of E-Services and Mobile Applications,Q3,0.272
1756-9869,International Journal of Economics and Business Research,Q3,0.204
1756-9850,International Journal of Economics and Business Research,Q3,0.204
1823-836X,International Journal of Economics and Management,Q3,0.23
0951-354X,International Journal of Educational Management,Q2,0.68
2329-1656,International Journal of Educational Organization and Leadership,Q4,0.162
2329-1591,International Journal of Educational Organization and Leadership,Q4,0.162
1470-6067,International Journal of Electronic Business,Q3,0.311
1741-5063,International Journal of Electronic Business,Q3,0.311
1086-4415,International Journal of Electronic Commerce,Q1,1.025
1557-9301,International Journal of Electronic Commerce,Q1,1.025
1750-0664,International Journal of Electronic Customer Relationship Management,Q4,0.172
1750-0672,International Journal of Electronic Customer Relationship Management,Q4,0.172
1746-0077,International Journal of Electronic Finance,Q3,0.216
1746-0069,International Journal of Electronic Finance,Q3,0.216
1741-1025,International Journal of Electronic Marketing and Retailing,Q4,0.191
1741-1033,International Journal of Electronic Marketing and Retailing,Q4,0.191
1741-5071,International Journal of Emergency Management,Q3,0.196
1471-4825,International Journal of Emergency Management,Q3,0.196
1746-8809,International Journal of Emerging Markets,Q2,0.739
1746-8817,International Journal of Emerging Markets,Q2,0.739
1750-6220,International Journal of Energy Sector Management,Q2,0.57
1847-9790,International Journal of Engineering Business Management,Q2,0.913
1548-1115,International Journal of Enterprise Information Systems,Q3,0.276
1548-1123,International Journal of Enterprise Information Systems,Q3,0.276
1748-1252,International Journal of Enterprise Network Management,Q4,0.187
1748-1260,International Journal of Enterprise Network Management,Q4,0.187
1355-2554,International Journal of Entrepreneurial Behaviour and Research,Q1,1.354
1742-5379,International Journal of Entrepreneurial Venturing,Q3,0.272
1742-5360,International Journal of Entrepreneurial Venturing,Q3,0.272
2043-6882,International Journal of Entrepreneurship and Innovation,Q2,0.618
1465-7503,International Journal of Entrepreneurship and Innovation,Q2,0.618
1741-5098,International Journal of Entrepreneurship and Innovation Management,Q3,0.237
1368-275X,International Journal of Entrepreneurship and Innovation Management,Q3,0.237
1476-1297,International Journal of Entrepreneurship and Small Business,Q3,0.271
1741-8054,International Journal of Entrepreneurship and Small Business,Q3,0.271
1743-4963,International Journal of Environment and Health,Q3,0.3
1743-4955,International Journal of Environment and Health,Q3,0.3
1741-8437,"International Journal of Environment, Workplace and Employment",Q4,0.137
1741-8445,"International Journal of Environment, Workplace and Employment",Q4,0.137
1758-2954,International Journal of Event and Festival Management,Q2,0.58
1758-2962,International Journal of Event and Festival Management,Q2,0.58
1741-8305,International Journal of Evidence Based Coaching and Mentoring,Q3,0.329
1099-1158,International Journal of Finance and Economics,Q2,0.791
1076-9307,International Journal of Finance and Economics,Q2,0.791
0169-2070,International Journal of Forecasting,Q1,2.428
1740-2816,International Journal of Foresight and Innovation Policy,Q4,0.131
1740-2824,International Journal of Foresight and Innovation Policy,Q4,0.131
1756-6274,International Journal of Gender and Entrepreneurship,Q1,1.009
1756-6266,International Journal of Gender and Entrepreneurship,Q1,1.009
1479-3059,International Journal of Globalisation and Small Business,Q3,0.231
1479-3067,International Journal of Globalisation and Small Business,Q3,0.231
1741-847X,International Journal of Grid and Utility Computing,Q4,0.214
1741-8488,International Journal of Grid and Utility Computing,Q4,0.214
0952-6862,International Journal of Health Care Quality Assurance,Q3,0.355
1476-072X,International Journal of Health Geographics,Q1,0.953
2059-464X,International Journal of Health Governance,Q2,0.476
2059-4631,International Journal of Health Governance,Q2,0.476
1470-3610,International Journal of Heritage Studies,Q1,0.802
1352-7258,International Journal of Heritage Studies,Q1,0.802
0278-4319,International Journal of Hospitality Management,Q1,2.731
1525-6480,International Journal of Hospitality and Tourism Administration,Q2,0.816
1525-6499,International Journal of Hospitality and Tourism Administration,Q2,0.816
0974-6250,International Journal of Hospitality and Tourism Systems,Q4,0.205
1947-3486,International Journal of Human Capital and Information Technology Professionals,Q3,0.24
1947-3478,International Journal of Human Capital and Information Technology Professionals,Q3,0.24
0958-5192,International Journal of Human Resource Management,Q1,2.231
1466-4399,International Journal of Human Resource Management,Q1,2.231
1465-6612,International Journal of Human Resources Development and Management,Q4,0.199
1741-5160,International Journal of Human Resources Development and Management,Q4,0.199
2217-2661,International Journal of Industrial Engineering and Management,Q2,0.595
2683-345X,International Journal of Industrial Engineering and Management,Q2,0.595
2008-4889,International Journal of Industrial Engineering and Production Research,Q3,0.189
2345-363X,International Journal of Industrial Engineering and Production Research,Q3,0.189
0167-7187,International Journal of Industrial Organization,Q1,0.95
0268-4012,International Journal of Information Management,Q1,6.26
2667-0968,International Journal of Information Management Data Insights,Q1,2.302
2008-8310,International Journal of Information Science and Management,Q3,0.189
2008-8302,International Journal of Information Science and Management,Q3,0.189
1947-8186,International Journal of Information System Modeling and Design,Q4,0.214
1947-8194,International Journal of Information System Modeling and Design,Q4,0.214
1479-313X,International Journal of Information Systems and Change Management,Q4,0.187
1479-3121,International Journal of Information Systems and Change Management,Q4,0.187
2182-7788,International Journal of Information Systems and Project Management,Q2,0.711
2182-7796,International Journal of Information Systems and Project Management,Q2,0.711
1935-5726,International Journal of Information Systems and Supply Chain Management,Q3,0.249
